"TITLE"; "LOCATION"; "TYPE"; "URL"
"Customer Solutions Engineer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4886"
"Director, Product Management"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5022"
"QA Specialist"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5023"
"IT Specialist"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5024"
"Senior .Net Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5025"
"Gestionnaire de projet Web"; "Centre-ville de Montreal, Quebec"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=5026"
"Full-Stack Developer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=3668"
"Product Designer"; "San Fransico, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5017"
"Data Engineer"; "San Fransico, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5018"
"Full Stack Engineer"; "San Fransico, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5019"
"Senior Full Stack Engineer"; "Richmond Hill, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5020"
"Lead Data Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5016"
"Front End Developer (Angular)"; "GTA [West], Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5012"
"Senior Java Developer"; "GTA [West], Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5013"
"Senior Python Developer(Contract)"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5015"
"Scrum Master"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4933"
"Lead Full Stack Engineer"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5010"
"Salesforce Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5011"
"Solution Delivery Manager"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4642"
"Manager, Global Procurement Service"; "Toronto, Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4794"
"Ruby on Rails Developer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5008"
"Front-End Developer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5009"
"Senior Mobile Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5004"
"Senior Backend Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5005"
"Senior Node.js Developer"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5007"
"Business and Functional Analyst IAM"; "Downtown Montreal, Quebec"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4856"
"Sr. React Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4677"
"Senior QA / Developer"; ", Ontario"; "Contract and Permanent"; "http://gurulink.ca/jobview.asp?JobID=4728"
"QA Developer (Contract)"; ", Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4732"
"DevOps (Site Reliability Engineer)"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4774"
"Customer Success Lead"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4841"
"Backend Cloud Developer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4843"
"Java/Scala Backend Software Develop"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4882"
"DevOps Engineer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4576"
"Team Lead / Sr. Developer"; "Richmondhill, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5002"
"Integration Developer"; "Toronto, Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=5003"
"Project Manager, Software and Servi"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4911"
"Sr. Mobile Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4920"
"Executive Assistant"; "Richmondhill, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5001"
"Senior Node.js Developer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4592"
"DevOps"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4789"
"Senior UX/UI Designer"; "TORONTO, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4694"
"Senior Javascript Developer (Front-"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4593"
"Front End Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4999"
"Senior Front End Architect"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=5000"
"Sr JavaScript Dev / Front End"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4409"
"Senior Node.js Engineer"; "montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4410"
"DevOps Engineer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4690"
"Mobile Application Developer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4997"
"Developer"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4998"
"Software Engineer"; "San Jose, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4994"
"DevOPs Engineer"; "North York, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4413"
"Full Stack Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4986"
"Product Manager"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4987"
"Site Reliability Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4988"
"Data Science Manager"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4989"
"Big Data Engineer"; "Oakville, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4990"
"Affiliate Manager"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4991"
"Digital Media Buyer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4992"
"Human Resources Specialist"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4983"
"Java Developer"; "Downtown Montreal or ville St-Laurent, Quebec"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4984"
"Senior Java Developer"; "Downtown Montreal or Ville St-Laurent, Quebec"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4985"
"Full Stack Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4982"
"PHP Developers - Backend"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4130"
"PHP Full-Stack Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4981"
"Senior Product Manager"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4978"
"CTO"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4979"
"DevOps Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4980"
"Client-Side Architect"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4976"
"Web Application Architect"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4977"
"Data Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4970"
"Data Architect"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4971"
"Senior Front End Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4972"
"Senior Product Manager"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4973"
"Senior Software Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4974"
"Engineering Manager"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4975"
"Senior Software Engineer and Archit"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4960"
"Senior Machine Learning Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4961"
"QA Mobile Testing Specialist"; ", Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4962"
"Senior Security Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4963"
"Android Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4964"
"Director, Data Science"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4965"
"Junior Developer (Fullstack)"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4966"
"iOS Engineer (Swift)"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4967"
"QA Automation Specialist"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4641"
"Java Developer"; "Mississauga, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4554"
"Machine Learning Engineer - Lead"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4680"
"Software Engineer, Web Application"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4957"
"Lead Product Designer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4958"
"Software Engineer, Platform"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4959"
"Senior Data Engineer"; "Mountain View, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4953"
"Senior Quality Engineer Lead"; "Mountain View, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4954"
"FullStack Software Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4947"
"Full Stack Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4949"
"Software Architect (Web/Java)"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=3954"
"Director, DM & Technology Solution"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4900"
"Développeur Java/Java developer"; "Montreal, Quebec"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4942"
"Senior Director of Engineering, Ana"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4943"
"Senior Architect, Analytics"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4944"
"Gestionnaire de Projet"; "Montreal, Quebec"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4940"
"Sr. Java Developer"; "Toronto, Ontario"; "Contract and Permanent"; "http://gurulink.ca/jobview.asp?JobID=4822"
"Data Architect"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4869"
"QA Engineer/Java Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4837"
"Senior DevOps Engineer"; "Richmond Hill, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=3901"
"Senior Security Engineer"; "San Francisco Bay Area, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4938"
"IT Analyst"; "Toronto, Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4937"
"Full Stack Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4484"
"Front End Engineer"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4444"
"NetSuite Developer"; "North York, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4935"
"Product Designer"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4932"
"Senior Operations Engineer(DevOps)"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4928"
"Senior Backend Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4929"
"Senior Software Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4930"
"Senior Project Manager"; "Mississauga, Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4931"
"Sr. DBA"; "North York, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4924"
"Software Architect"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4926"
"Principal UI Engineer"; "Mountain View, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4923"
"Android Developer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4912"
