"TITLE"; "LOCATION"; "TYPE"; "URL"; "SALARY"
"Senior Associate, Client Services,  Lannick Technology"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Associate-Client-Services-Lannick-Technology-14514"; ""
"Sales and Business Development Associate"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Sales-and-Business-Development-Associate-14516"; ""
"Accounts Payable Administrator - 15028"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Accounts-Payable-Administrator-15028"; ""
"Financial Analyst - 15029"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Financial-Analyst-15029"; "$57,000.00/yr"
"General Accountant - 15030"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/General-Accountant-15030"; "$50,000.00/yr"
"Sales and Business Development,  Senior Associate - Lannick Finance and Accounting"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Sales-and-Business-Development-Senior-Associate-Lannick-Finance-and-Accounting-17846"; ""
"Senior Associate, Recruitment Services,  Lannick Finance & Accounting"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Associate-Recruitment-Services-Lannick-Finance-Accounting-17847"; ""
"Intake Recruiter, Recruitment Services"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Intake-Recruiter-Recruitment-Services-18071"; ""
"Financial Analyst - 3 Month Contract - 19691"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Financial-Analyst-Month-Contract-19691"; "$27.00+/hr"
"Sales Audit - 19694"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Sales-Audit-19694"; "$40.00/hr"
"Fraud Detection Analyst - 3 Month Contract - 19695"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Fraud-Detection-Analyst-Month-Contract-19695"; "$22.00/hr"
"AP/AR Coordinator - 6 Month Contract - 19697"; "Burlington"; ""; "http://jobs.lannickgroup.com//jobs/AP-AR-Coordinator-Month-Contract-19697"; "$21.00/hr"
"Senior Financial Analyst, Financial Reporting - 19698"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Financial-Analyst-Financial-Reporting-19698"; "$90,000.00/yr"
"Manager, Treasury and Corporate Finance - 19699"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-Treasury-and-Corporate-Finance-19699"; "$115,000.00/yr"
